python 3.10.9-1
python-capng 0.8.3-1
python-defusedxml 0.7.1-4
python-packaging 23.0-1
python-pip 23.0.1-1
python-pyqt5 5.15.9-1
python-pywal 3.3.0-7
python-reportlab 3.6.12-2
python-setuptools 1:67.3.3-1
qt6-wayland 6.4.2-1
ranger 1.9.3-6
rebuild-detector 4.4.1-2
reflector 2021.11-5
reflector-simple 2022.09.01-1
reiserfsprogs 3.6.27-4
rsync 3.2.7-3
rtkit 0.13-2
s-nail 14.9.24-2
sddm-kcm 5.27.2-1
sg3_utils 1.47-1
slurp 1.4.0-1
smartmontools 7.3-1
sof-firmware 2.2.4-1
splix 2.0.0-19
sudo 1.9.13.p1-1
sway 1:1.8.1-1
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock 1.7.2-1
sysfsutils 2.1.1-1
sysstat 12.7.2-1
system-config-printer 1.5.18-1
systemd-sysvcompat 253-1
systemsettings 5.27.2-1
texinfo 7.0.2-2
thunar 4.18.4-1
thunar-archive-plugin 0.5.0-2
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
tldr 3.1.0-2
torbrowser-launcher 0.3.6-1
transmission-gtk 4.0.1-2
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-jetbrains-mono 2.304-1
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols-2048-em 2.3.3-1
ttf-opensans 1.101-2
ttf-ubuntu-font-family 0.83-8
unrar 1:6.2.6-1
unzip 6.0-19
upower 1.90.0-3
usb_modeswitch 2.6.1-3
usbutils 015-2
vi 1:070224-6
vlc 3.0.18-6
w3m 0.5.3.git20230121_1-1
waybar 0.9.17-1
waydroid 1.4.0-1
wayland-protocols 1.31-1
welcome 3.51-1
wget 1.21.3-1
which 2.21-6
wireplumber 0.4.13-1
wl-clipboard 1:2.1.0-3
wofi 1.3-2
wpa_supplicant 2:2.10-8
xdg-desktop-portal-kde 5.27.2-1
xdg-desktop-portal-wlr 0.6.0-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xed 3.2.8-1
xf86-input-libinput 1.2.1-1
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xfce4-terminal 1.0.4-1
xfsprogs 6.1.1-2
xl2tpd 1.3.18-1
xorg-server 21.1.7-1
xorg-xdpyinfo 1.3.3-4
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.3-3
xorg-xkill 1.0.6-1
xorg-xrandr 1.5.2-1
xorg-xwayland 22.1.8-1
xsane 0.999-6
xterm 379-1
yay 11.3.2-1
